#Size	Observed	Expected	P-value
2	105	0.0	1.0
3	45	0.0	1.0
4	28	0.0	1.0
5	16	0.0	1.0
6	9	0.0	1.0
7	6	0.0	1.0
8	5	0.0	1.0
9	4	0.0	1.0
10	4	0.0	1.0
