#Size	Observed	Expected	P-value
2	31	0.0	1.0
3	13	0.0	1.0
4	9	0.0	1.0
5	8	0.0	1.0
6	8	0.0	1.0
7	6	0.0	1.0
8	6	0.0	1.0
9	3	0.0	1.0
10	3	0.0	1.0
