#Size	Observed	Expected	P-value
2	27	0.0	1.0
3	13	0.0	1.0
4	4	0.0	1.0
5	4	0.0	1.0
6	3	0.0	1.0
7	3	0.0	1.0
8	3	0.0	1.0
9	3	0.0	1.0
10	2	0.0	1.0
