#Size	Observed	Expected	P-value
2	42	0.0	1.0
3	20	0.0	1.0
4	12	0.0	1.0
5	11	0.0	1.0
6	5	0.0	1.0
7	4	0.0	1.0
8	4	0.0	1.0
9	4	0.0	1.0
10	4	0.0	1.0
