#Size	Observed	Expected	P-value
2	34	0.0	1.0
3	15	0.0	1.0
4	9	0.0	1.0
5	8	0.0	1.0
6	6	0.0	1.0
7	4	0.0	1.0
8	4	0.0	1.0
9	4	0.0	1.0
10	3	0.0	1.0
