#Size	Observed	Expected	P-value
2	45	0.0	1.0
3	18	0.0	1.0
4	11	0.0	1.0
5	6	0.0	1.0
6	5	0.0	1.0
7	4	0.0	1.0
8	3	0.0	1.0
9	3	0.0	1.0
10	2	0.0	1.0
