#Size	Observed	Expected	P-value
2	47	0.0	1.0
3	26	0.0	1.0
4	20	0.0	1.0
5	16	0.0	1.0
6	12	0.0	1.0
7	11	0.0	1.0
8	7	0.0	1.0
9	5	0.0	1.0
10	4	0.0	1.0
