#Linkers: 
#Core	Expansion
ENSG00000010610 ENSG00000019991 ENSG00000078401 ENSG00000078747 ENSG00000100385 ENSG00000101076 ENSG00000102524 ENSG00000105369 ENSG00000107562 ENSG00000108691 ENSG00000110448 ENSG00000110799 ENSG00000111537 ENSG00000112715 ENSG00000113070 ENSG00000113525 ENSG00000114013 ENSG00000115414 ENSG00000115705 ENSG00000118271 ENSG00000123838 ENSG00000125538 ENSG00000125730 ENSG00000130427 ENSG00000132693 ENSG00000134460 ENSG00000136244 ENSG00000136634 ENSG00000137462 ENSG00000138684 ENSG00000138755 ENSG00000139193 ENSG00000144891 ENSG00000145777 ENSG00000147168 ENSG00000149131 ENSG00000156234 ENSG00000156738 ENSG00000162692 ENSG00000163631 ENSG00000164400 ENSG00000166710 ENSG00000169245 ENSG00000169248 ENSG00000169429 ENSG00000170458 ENSG00000171855 ENSG00000174738 ENSG00000177455 ENSG00000182985 ENSG00000186716 ENSG00000186810 ENSG00000196126 ENSG00000196415 ENSG00000197110 ENSG00000203710 ENSG00000232810	
ENSG00000091583 ENSG00000130164	
ENSG00000117525 ENSG00000117601 ENSG00000178726	
ENSG00000074800 ENSG00000116679	
ENSG00000132109 ENSG00000138385	
