#Size	Observed	Expected	P-value
2	66	0.0	1.0
3	26	0.0	1.0
4	16	0.0	1.0
5	13	0.0	1.0
6	11	0.0	1.0
7	8	0.0	1.0
8	6	0.0	1.0
9	4	0.0	1.0
10	4	0.0	1.0
