#Size	Observed	Expected	P-value
2	41	0.0	1.0
3	14	0.0	1.0
4	7	0.0	1.0
5	7	0.0	1.0
6	6	0.0	1.0
7	5	0.0	1.0
8	5	0.0	1.0
9	4	0.0	1.0
10	4	0.0	1.0
