#Size	Observed	Expected	P-value
2	34	0.0	1.0
3	15	0.0	1.0
4	10	0.0	1.0
5	8	0.0	1.0
6	8	0.0	1.0
7	7	0.0	1.0
8	5	0.0	1.0
9	5	0.0	1.0
10	4	0.0	1.0
