#Size	Observed	Expected	P-value
2	46	0.0	1.0
3	13	0.0	1.0
4	7	0.0	1.0
5	6	0.0	1.0
6	5	0.0	1.0
7	4	0.0	1.0
8	4	0.0	1.0
9	4	0.0	1.0
10	3	0.0	1.0
