#Size	Observed	Expected	P-value
2	37	0.0	1.0
3	8	0.0	1.0
4	6	0.0	1.0
5	4	0.0	1.0
6	3	0.0	1.0
7	3	0.0	1.0
8	3	0.0	1.0
9	2	0.0	1.0
10	1	0.0	1.0
