#Size	Observed	Expected	P-value
2	31	0.0	1.0
3	10	0.0	1.0
4	6	0.0	1.0
5	5	0.0	1.0
6	3	0.0	1.0
7	3	0.0	1.0
8	1	0.0	1.0
9	1	0.0	1.0
10	1	0.0	1.0
