#Size	Observed	Expected	P-value
2	66	0.0	1.0
3	26	0.0	1.0
4	19	0.0	1.0
5	15	0.0	1.0
6	12	0.0	1.0
7	10	0.0	1.0
8	8	0.0	1.0
9	7	0.0	1.0
10	6	0.0	1.0
