#Size	Observed	Expected	P-value
2	41	0.0	1.0
3	18	0.0	1.0
4	10	0.0	1.0
5	4	0.0	1.0
6	4	0.0	1.0
7	3	0.0	1.0
8	1	0.0	1.0
9	1	0.0	1.0
10	1	0.0	1.0
