#Size	Observed	Expected	P-value
2	33	0.0	1.0
3	11	0.0	1.0
4	7	0.0	1.0
5	5	0.0	1.0
6	2	0.0	1.0
7	2	0.0	1.0
8	2	0.0	1.0
9	2	0.0	1.0
10	2	0.0	1.0
