#Size	Observed	Expected	P-value
2	28	0.0	1.0
3	9	0.0	1.0
4	5	0.0	1.0
5	3	0.0	1.0
6	1	0.0	1.0
7	1	0.0	1.0
8	1	0.0	1.0
9	1	0.0	1.0
10	1	0.0	1.0
