#Size	Observed	Expected	P-value
2	112	0.0	1.0
3	57	0.0	1.0
4	38	0.0	1.0
5	26	0.0	1.0
6	19	0.0	1.0
7	16	0.0	1.0
8	13	0.0	1.0
9	10	0.0	1.0
10	9	0.0	1.0
