#Size	Observed	Expected	P-value
2	129	0.0	1.0
3	59	0.0	1.0
4	32	0.0	1.0
5	22	0.0	1.0
6	18	0.0	1.0
7	16	0.0	1.0
8	14	0.0	1.0
9	12	0.0	1.0
10	10	0.0	1.0
