#Size	Observed	Expected	P-value
2	36	0.0	1.0
3	19	0.0	1.0
4	9	0.0	1.0
5	8	0.0	1.0
6	8	0.0	1.0
7	5	0.0	1.0
8	3	0.0	1.0
9	1	0.0	1.0
10	1	0.0	1.0
