#Size	Observed	Expected	P-value
2	47	0.0	1.0
3	19	0.0	1.0
4	13	0.0	1.0
5	8	0.0	1.0
6	6	0.0	1.0
7	4	0.0	1.0
8	3	0.0	1.0
9	2	0.0	1.0
10	2	0.0	1.0
