#Size	Observed	Expected	P-value
2	144	0.0	1.0
3	74	0.0	1.0
4	52	0.0	1.0
5	40	0.0	1.0
6	31	0.0	1.0
7	25	0.0	1.0
8	18	0.0	1.0
9	11	0.0	1.0
10	9	0.0	1.0
