#Size	Observed	Expected	P-value
2	31	0.0	1.0
3	9	0.0	1.0
4	5	0.0	1.0
5	3	0.0	1.0
6	3	0.0	1.0
7	3	0.0	1.0
8	3	0.0	1.0
9	2	0.0	1.0
10	2	0.0	1.0
