#Size	Observed	Expected	P-value
2	47	0.0	1.0
3	18	0.0	1.0
4	10	0.0	1.0
5	6	0.0	1.0
6	6	0.0	1.0
7	5	0.0	1.0
8	5	0.0	1.0
9	5	0.0	1.0
10	3	0.0	1.0
