#Size	Observed	Expected	P-value
2	16	0.0	1.0
3	5	0.0	1.0
4	2	0.0	1.0
5	1	0.0	1.0
6	1	0.0	1.0
7	1	0.0	1.0
8	1	0.0	1.0
9	1	0.0	1.0
10	1	0.0	1.0
