#Size	Observed	Expected	P-value
2	27	0.0	1.0
3	14	0.0	1.0
4	10	0.0	1.0
5	7	0.0	1.0
6	7	0.0	1.0
7	7	0.0	1.0
8	7	0.0	1.0
9	7	0.0	1.0
10	7	0.0	1.0
