#Size	Observed	Expected	P-value
2	14	0.0	1.0
3	9	0.0	1.0
4	4	0.0	1.0
5	4	0.0	1.0
6	1	0.0	1.0
7	1	0.0	1.0
8	1	0.0	1.0
9	0	0.0	1.0
10	0	0.0	1.0
