#Size	Observed	Expected	P-value
2	37	0.0	1.0
3	17	0.0	1.0
4	13	0.0	1.0
5	8	0.0	1.0
6	6	0.0	1.0
7	5	0.0	1.0
8	5	0.0	1.0
9	5	0.0	1.0
10	4	0.0	1.0
