#Size	Observed	Expected	P-value
2	36	0.0	1.0
3	16	0.0	1.0
4	10	0.0	1.0
5	7	0.0	1.0
6	5	0.0	1.0
7	5	0.0	1.0
8	5	0.0	1.0
9	5	0.0	1.0
10	4	0.0	1.0
