#Size	Observed	Expected	P-value
2	46	0.0	1.0
3	17	0.0	1.0
4	9	0.0	1.0
5	6	0.0	1.0
6	6	0.0	1.0
7	4	0.0	1.0
8	3	0.0	1.0
9	3	0.0	1.0
10	3	0.0	1.0
