#Size	Observed	Expected	P-value
2	30	0.0	1.0
3	16	0.0	1.0
4	9	0.0	1.0
5	9	0.0	1.0
6	8	0.0	1.0
7	8	0.0	1.0
8	6	0.0	1.0
9	6	0.0	1.0
10	5	0.0	1.0
