#Size	Observed	Expected	P-value
2	55	0.0	1.0
3	16	0.0	1.0
4	5	0.0	1.0
5	3	0.0	1.0
6	3	0.0	1.0
7	3	0.0	1.0
8	3	0.0	1.0
9	3	0.0	1.0
10	3	0.0	1.0
