#Size	Observed	Expected	P-value
2	35	0.0	1.0
3	20	0.0	1.0
4	11	0.0	1.0
5	9	0.0	1.0
6	4	0.0	1.0
7	3	0.0	1.0
8	2	0.0	1.0
9	2	0.0	1.0
10	2	0.0	1.0
