#Size	Observed	Expected	P-value
2	25	0.0	1.0
3	10	0.0	1.0
4	7	0.0	1.0
5	6	0.0	1.0
6	5	0.0	1.0
7	5	0.0	1.0
8	3	0.0	1.0
9	2	0.0	1.0
10	2	0.0	1.0
