index,protID,geneID,geneName,
1771,Q92918,ENSG00000104814,MAP4K1,
1772,O15357,ENSG00000165458,INPPL1,
1773,O75368,ENSG00000131171,SH3BGRL,
1774,P51452,ENSG00000108861,DUSP3,
1775,Q13387,ENSG00000008735,MAPK8IP2,
1776,Q9NYD6,ENSG00000180818,HOXC10,
1777,Q96JA1,ENSG00000144749,LRIG1,
1778,P05026,ENSG00000143153,ATP1B1,
1779,P09211,ENSG00000084207,GSTP1,
1780,Q96CW1,ENSG00000161203,AP2M1,
1781,Q9UKG1,ENSG00000157500,APPL1,
1782,O75159,ENSG00000171150,SOCS5,
1783,P06702,ENSG00000163220,S100A9,
1784,Q9UJM3,ENSG00000116285,ERRFI1,
1785,P78545,ENSG00000163435,ELF3,
1786,Q13740,ENSG00000170017,ALCAM,
1787,P31151,ENSG00000143556,S100A7,
1788,P08648,ENSG00000161638,ITGA5,
1789,O14654,ENSG00000133124,IRS4,
1790,Q8WXH5,ENSG00000180008,SOCS4,
1791,O96018,ENSG00000011132,APBA3,
1792,P53680,ENSG00000042753,AP2S1,
1793,P61925,ENSG00000171033,PKIA,
1794,P48050,ENSG00000168135,KCNJ4,
1795,Q6PKX4,ENSG00000206052,DOK6,
1796,O14944,ENSG00000124882,EREG,
1797,P03971,ENSG00000104899,AMH,
1798,Q8TEW6,ENSG00000125170,DOK4,
1799,Q6UW88,ENSG00000182585,EPGN,
1800,P19544,ENSG00000184937,WT1,
1801,Q9UKW4,ENSG00000134215,VAV3,
1802,P43378,ENSG00000169410,PTPN9,
1803,Q99527,ENSG00000164850,GPER1,
1804,Q9UQQ2,ENSG00000111252,SH2B3,
1805,P07332,ENSG00000182511,FES,
1806,O15117,ENSG00000082074,FYB1,
1807,Q15075,ENSG00000102189,EEA1,
1808,Q8NFJ5,ENSG00000013588,GPRC5A,
1809,Q38SD2,ENSG00000154237,LRRK1,
1810,P36542,ENSG00000165629,ATP5C1,
1811,Q00169,ENSG00000174238,PITPNA,
1812,Q9UK17,ENSG00000171385,KCND3,
1813,Q92952,ENSG00000105642,KCNN1,
1814,Q12929,ENSG00000151491,EPS8,
1815,O94973,ENSG00000183020,AP2A2,
1816,O14828,ENSG00000116521,SCAMP3,
1817,O95782,ENSG00000196961,AP2A1,
1818,P11217,ENSG00000068976,PYGM,
1819,O15126,ENSG00000085365,SCAMP1,
1820,Q9BRG2,ENSG00000125731,SH2D3A,
1821,Q92870,ENSG00000163697,APBB2,
1822,Q8WYP3,ENSG00000132669,RIN2,
1823,O95704,ENSG00000113108,APBB3,
1824,Q04695,ENSG00000128422,KRT17,
1825,P58107,ENSG00000261150,EPPK1,
1826,P62316,ENSG00000125743,SNRPD2,
1827,Q7Z7G1,ENSG00000109684,CLNK,
1828,Q8IZW8,ENSG00000131746,TNS4,
1829,P13987,ENSG00000085063,CD59,
1830,P08729,ENSG00000135480,KRT7,
1831,Q6P5Z2,ENSG00000160447,PKN3,
1832,Q96QU8,ENSG00000169180,XPO6,
1833,P18085,ENSG00000168374,ARF4,
1834,Q6S5L8,ENSG00000185634,SHC4,
1835,Q9UNH7,ENSG00000129515,SNX6,
1836,Q13596,ENSG00000028528,SNX1,
1837,P24821,ENSG00000041982,TNC,
1838,O60749,ENSG00000205302,SNX2,
1839,O75312,ENSG00000109917,ZPR1,
1840,O95219,ENSG00000114520,SNX4,
1841,P60468,ENSG00000106803,SEC61B,
1842,O43147,ENSG00000141258,SGSM2,
1843,O15121,ENSG00000143753,DEGS1,
1844,P13866,ENSG00000100170,SLC5A1,
1845,Q8IZV2,ENSG00000170293,CMTM8,
1846,Q99623,ENSG00000215021,PHB2,
1847,Q8IU85,ENSG00000183049,CAMK1D,
1848,Q5TH69,ENSG00000112379,ARFGEF3,
1849,Q13586,ENSG00000167323,STIM1,
1850,Q9P246,ENSG00000109689,STIM2,
1851,O43525,ENSG00000184156,KCNQ3,
1852,O43526,ENSG00000075043,KCNQ2,
1853,Q14994,ENSG00000143257,NR1I3,
1854,P06746,ENSG00000070501,POLB,
1855,P05204,ENSG00000198830,HMGN2,
1856,Q7KZI7,ENSG00000072518,MARK2,
1857,P08684,ENSG00000160868,CYP3A4,
1858,Q9NRD5,ENSG00000100151,PICK1,
1859,Q04637,ENSG00000114867,EIF4G1,
1860,P55273,ENSG00000129355,CDKN2D,
1861,P11234,ENSG00000144118,RALB,
1862,P01730,ENSG00000010610,CD4,
1863,Q99717,ENSG00000113658,SMAD5,
1864,Q9NRY4,ENSG00000160007,ARHGAP35,
1865,Q92837,ENSG00000165879,FRAT1,
1866,Q99801,ENSG00000167034,NKX3-1,
1867,P35638,ENSG00000175197,DDIT3,
1868,P23588,ENSG00000063046,EIF4B,
1869,Q86UR1,ENSG00000188747,NOXA1,
1870,O15527,ENSG00000114026,OGG1,
1871,O14746,ENSG00000164362,TERT,
1872,P35398,ENSG00000069667,RORA,
1873,P10599,ENSG00000136810,TXN,
1874,P78543,ENSG00000159388,BTG2,
1875,P78536,ENSG00000151694,ADAM17,
1876,Q15311,ENSG00000017797,RALBP1,
1877,P14859,ENSG00000143190,POU2F1,
1878,P11387,ENSG00000198900,TOP1,
1879,P15382,ENSG00000180509,KCNE1,
1880,Q9NS23,ENSG00000068028,RASSF1,
1881,Q13009,ENSG00000156299,TIAM1,
1882,Q96KS0,ENSG00000269858,EGLN2,
1883,O94992,ENSG00000186834,HEXIM1,
1884,Q12959,ENSG00000075711,DLG1,
1885,Q05682,ENSG00000122786,CALD1,
1886,Q13574,ENSG00000149091,DGKZ,
1887,P37802,ENSG00000158710,TAGLN2,
1888,Q9Y2V2,ENSG00000153048,CARHSP1,
1889,O43294,ENSG00000140682,TGFB1I1,
1890,O60825,ENSG00000123836,PFKFB2,
1891,P13498,ENSG00000051523,CYBA,
1892,Q13371,ENSG00000136940,PDCL,
1893,Q9Y624,ENSG00000158769,F11R,
1894,O60479,ENSG00000064195,DLX3,
1895,P09651,ENSG00000135486,HNRNPA1,
1896,Q07021,ENSG00000108561,C1QBP,
1897,P01116,ENSG00000133703,KRAS,
1898,Q01814,ENSG00000157087,ATP2B2,
1899,P30622,ENSG00000130779,CLIP1,
1900,Q96RI1,ENSG00000012504,NR1H4,
1901,P14151,ENSG00000188404,SELL,
1902,Q16875,ENSG00000170525,PFKFB3,
1903,Q9BQE3,ENSG00000167553,TUBA1C,
1904,P35869,ENSG00000106546,AHR,
1905,O94806,ENSG00000115825,PRKD3,
1906,Q9NPB6,ENSG00000102981,PARD6A,
1907,P47872,ENSG00000080293,SCTR,
1908,P32004,ENSG00000198910,L1CAM,
1909,Q16854,ENSG00000114956,DGUOK,
1910,P23415,ENSG00000145888,GLRA1,
1911,P14867,ENSG00000022355,GABRA1,
1912,P39086,ENSG00000171189,GRIK1,
1913,O94856,ENSG00000163531,NFASC,
1914,Q07960,ENSG00000175220,ARHGAP1,
1915,P07477,ENSG00000204983,PRSS1,
1916,Q92888,ENSG00000076928,ARHGEF1,
1917,Q13522,ENSG00000135447,PPP1R1A,
1918,P18433,ENSG00000132670,PTPRA,
1919,P31431,ENSG00000124145,SDC4,
1920,P52566,ENSG00000111348,ARHGDIB,
1921,Q13002,ENSG00000164418,GRIK2,
1922,P00749,ENSG00000122861,PLAU,
1923,P33778,ENSG00000276410,HIST1H2BB,
1924,Q06210,ENSG00000198380,GFPT1,
1925,P17812,ENSG00000171793,CTPS1,
1926,Q8NFA2,ENSG00000196408,NOXO1,
1927,O14986,ENSG00000107242,PIP5K1B,
1928,Q8N726,ENSG00000147889,CDKN2A,
1929,P42262,ENSG00000120251,GRIA2,
1930,P48048,ENSG00000151704,KCNJ1,
1931,P04180,ENSG00000213398,LCAT,
1932,O60928,ENSG00000115474,KCNJ13,
1933,Q99626,ENSG00000165556,CDX2,
1934,P30518,ENSG00000126895,AVPR2,
1935,Q13017,ENSG00000100852,ARHGAP5,
1936,P21399,ENSG00000122729,ACO1,
1937,O60869,ENSG00000107223,EDF1,
1938,P29692,ENSG00000104529,EEF1D,
1939,Q13769,ENSG00000100296,THOC5,
1940,P10588,ENSG00000160113,NR2F6,
1941,O00168,ENSG00000266964,FXYD1,
1942,P63010,ENSG00000006125,AP2B1,
1943,P41161,ENSG00000244405,ETV5,
1944,Q9BR76,ENSG00000172725,CORO1B,
1945,P09758,ENSG00000184292,TACSTD2,
1946,Q9NXH3,ENSG00000166143,PPP1R14D,
1947,Q02952,ENSG00000131016,AKAP12,
1948,Q8WTQ7,ENSG00000114124,GRK7,
1949,Q92681,ENSG00000215695,RSC1A1,
1950,Q8N0W4,ENSG00000146938,NLGN4X,
1951,P60983,ENSG00000197045,GMFB,
1952,O95471,ENSG00000181885,CLDN7,
1953,Q5NUL3,ENSG00000186188,FFAR4,
1954,Q96C90,ENSG00000173457,PPP1R14B,
1955,Q96PY5,ENSG00000157827,FMNL2,
1956,Q16760,ENSG00000077044,DGKD,
1957,Q99952,ENSG00000072135,PTPN18,
1958,O14493,ENSG00000189143,CLDN4,
1959,O15217,ENSG00000170899,GSTA4,
1960,Q9Y6H6,ENSG00000175538,KCNE3,
1961,Q15762,ENSG00000150637,CD226,
1962,O76090,ENSG00000167995,BEST1,
1963,Q9HAN9,ENSG00000173614,NMNAT1,
1964,Q14134,ENSG00000137699,TRIM29,
1965,Q01954,ENSG00000169594,BNC1,
1966,Q96MS0,ENSG00000154134,ROBO3,
1967,P30301,ENSG00000135517,MIP,
1968,P07359,ENSG00000185245,GP1BA,
1969,P41219,ENSG00000135406,PRPH,
1970,P51674,ENSG00000150625,GPM6A,
1971,Q9UQ07,ENSG00000080823,MOK,
1972,O75534,ENSG00000009307,CSDE1,
1973,P35900,ENSG00000171431,KRT20,
1974,P04439,ENSG00000206503,HLA-A,
1975,Q02383,ENSG00000124157,SEMG2,
1976,P16455,ENSG00000170430,MGMT,
1977,P43005,ENSG00000106688,SLC1A1,
1978,Q9NS61,ENSG00000120049,KCNIP2,
1979,Q8WWG9,ENSG00000152049,KCNE4,
1980,P61296,ENSG00000164107,HAND2,
1981,Q15056,ENSG00000106682,EIF4H,
1982,Q07617,ENSG00000104450,SPAG1,
1983,O00186,ENSG00000116266,STXBP3,
1984,P27987,ENSG00000143772,ITPKB,
1985,P30459,ENSG00000223980,HLA-A,
1986,Q99973,ENSG00000129566,TEP1,
1987,P21926,ENSG00000010278,CD9,
1988,P35368,ENSG00000170214,ADRA1B,
1989,Q9NYX4,ENSG00000130643,CALY,
1990,O95810,ENSG00000168497,CAVIN2,
1991,P04279,ENSG00000124233,SEMG1,
1992,P37288,ENSG00000166148,AVPR1A,
1993,O75356,ENSG00000187097,ENTPD5,
1994,P28476,ENSG00000111886,GABRR2,
1995,P48067,ENSG00000196517,SLC6A9,
1996,P30512,ENSG00000231834,HLA-A,
1997,O60341,ENSG00000004487,KDM1A,
1998,Q9Y281,ENSG00000165410,CFL2,
1999,Q9Y6W5,ENSG00000158195,WASF2,
2000,O15143,ENSG00000130429,ARPC1B,
2001,Q9Y230,ENSG00000183207,RUVBL2,
2002,Q9UPY6,ENSG00000132970,WASF3,
2003,P16104,ENSG00000188486,H2AFX,
2004,P63261,ENSG00000184009,ACTG1,
2005,Q99729,ENSG00000197451,HNRNPAB,
2006,P07737,ENSG00000108518,PFN1,
2007,P57105,ENSG00000213463,SYNJ2BP,
2008,Q13643,ENSG00000183386,FHL3,
2009,P50991,ENSG00000115484,CCT4,
2010,P52907,ENSG00000116489,CAPZA1,
2011,P21246,ENSG00000105894,PTN,
2012,Q14019,ENSG00000103187,COTL1,
2013,O15020,ENSG00000173898,SPTBN2,
2014,O14682,ENSG00000171617,ENC1,
2015,Q969G3,ENSG00000073584,SMARCE1,
2016,O14950,ENSG00000118680,MYL12B,
2017,Q9UQB8,ENSG00000175866,BAIAP2,
2018,P49585,ENSG00000161217,PCYT1A,
2019,P60981,ENSG00000125868,DSTN,
2020,O43490,ENSG00000007062,PROM1,
2021,P29279,ENSG00000118523,CTGF,
2022,Q9Y5Y9,ENSG00000185313,SCN10A,
2023,Q8IUG5,ENSG00000133454,MYO18B,
2024,P54105,ENSG00000074201,CLNS1A,
2025,P00747,ENSG00000122194,PLG,
2026,Q9NQP4,ENSG00000101132,PFDN4,
2027,Q9NV56,ENSG00000101189,MRGBP,
2028,Q12965,ENSG00000157483,MYO1E,
2029,P51659,ENSG00000133835,HSD17B4,
2030,P62760,ENSG00000163032,VSNL1,
2031,P62328,ENSG00000205542,TMSB4X,
2032,Q86VF7,ENSG00000197893,NRAP,
2033,P29536,ENSG00000163431,LMOD1,
2034,Q99439,ENSG00000064666,CNN2,
2035,O75340,ENSG00000249915,PDCD6,
2036,O94979,ENSG00000138674,SEC31A,
2037,Q8IWX8,ENSG00000085872,CHERP,
2038,Q9UBV8,ENSG00000162517,PEF1,
2039,P08247,ENSG00000102003,SYP,
2040,Q16563,ENSG00000008282,SYPL1,
2041,Q12846,ENSG00000103496,STX4,
2042,P51178,ENSG00000187091,PLCD1,
2043,P15531,ENSG00000239672,NME1,
2044,Q14766,ENSG00000049323,LTBP1,
2045,P09486,ENSG00000113140,SPARC,
2046,Q12852,ENSG00000139625,MAP3K12,
2047,P63241,ENSG00000132507,EIF5A,
2048,P54646,ENSG00000162409,PRKAA2,
2049,Q8IYT8,ENSG00000083290,ULK2,
2050,Q99856,ENSG00000116017,ARID3A,
2051,Q92819,ENSG00000170961,HAS2,
2052,P54619,ENSG00000181929,PRKAG1,
2053,P36956,ENSG00000072310,SREBF1,
2054,Q13085,ENSG00000278540,ACACA,
2055,Q53ET0,ENSG00000160741,CRTC2,
2056,P30260,ENSG00000004897,CDC27,
2057,P41159,ENSG00000174697,LEP,
2058,Q9UQL6,ENSG00000108840,HDAC5,
2059,Q9H0M0,ENSG00000123124,WWP1,
2060,Q07866,ENSG00000126214,KLC1,
2061,O00763,ENSG00000076555,ACACB,
2062,Q9BZL4,ENSG00000125503,PPP1R12C,
2063,O95278,ENSG00000112425,EPM2A,
2064,Q14202,ENSG00000147130,ZMYM3,
2065,Q86V48,ENSG00000169641,LUZP1,
2066,O43741,ENSG00000131791,PRKAB2,
2067,Q9UMY1,ENSG00000225921,NOL7,
2068,O95149,ENSG00000169371,SNUPN,
2069,Q9UGJ0,ENSG00000106617,PRKAG2,
2070,P02489,ENSG00000160202,CRYAA,
2071,Q14318,ENSG00000105701,FKBP8,
2072,Q6VAB6,ENSG00000171435,KSR2,
2073,P63098,ENSG00000221823,PPP3R1,
2074,P53805,ENSG00000159200,RCAN1,
2075,P14316,ENSG00000168310,IRF2,
2076,P23634,ENSG00000058668,ATP2B4,
2077,Q13469,ENSG00000101096,NFATC2,
2078,Q9Y6J0,ENSG00000099991,CABIN1,
2079,Q8WYL5,ENSG00000084112,SSH1,
2080,P54578,ENSG00000101557,USP14,
2081,Q99259,ENSG00000128683,GAD1,
2082,Q05329,ENSG00000136750,GAD2,
2083,Q14973,ENSG00000100652,SLC10A1,
2084,Q14206,ENSG00000172348,RCAN2,
2085,P16615,ENSG00000174437,ATP2A2,
2086,P26678,ENSG00000198523,PLN,
2087,Q9UM54,ENSG00000196586,MYO6,
2088,O75330,ENSG00000072571,HMMR,
2089,P11233,ENSG00000006451,RALA,
2090,P01111,ENSG00000213281,NRAS,
2091,P51787,ENSG00000053918,KCNQ1,
2092,P02788,ENSG00000012223,LTF,
2093,P19634,ENSG00000090020,SLC9A1,
2094,Q92731,ENSG00000140009,ESR2,
2095,P62508,ENSG00000196482,ESRRG,
2096,P61619,ENSG00000058262,SEC61A1,
2097,Q01064,ENSG00000123360,PDE1B,
2098,Q9P0L0,ENSG00000101558,VAPA,
2099,P20336,ENSG00000105649,RAB3A,
2100,P54750,ENSG00000115252,PDE1A,
2101,Q99578,ENSG00000152214,RIT2,
2102,Q14123,ENSG00000154678,PDE1C,
2103,Q8NFW9,ENSG00000170011,MYRIP,
2104,O15554,ENSG00000104783,KCNN4,
2105,P32298,ENSG00000125388,GRK4,
2106,Q9H2S1,ENSG00000080709,KCNN2,
2107,P35125,ENSG00000129204,USP6,
2108,Q9UQD0,ENSG00000196876,SCN8A,
2109,Q9HD67,ENSG00000145555,MYO10,
2110,O43815,ENSG00000115808,STRN,
2111,P48539,ENSG00000183036,PCP4,
2112,P52888,ENSG00000172009,THOP1,
2113,Q16816,ENSG00000164776,PHKG1,
2114,Q9BYF1,ENSG00000130234,ACE2,
2115,O95259,ENSG00000143473,KCNH1,
2116,Q15051,ENSG00000173226,IQCB1,
2117,P20337,ENSG00000169213,RAB3B,
2118,P40145,ENSG00000155897,ADCY8,
2119,Q5VST9,ENSG00000154358,OBSCN,
2120,Q16280,ENSG00000183862,CNGA2,
2121,P05937,ENSG00000104327,CALB1,
2122,Q96S59,ENSG00000010017,RANBP9,
2123,P29218,ENSG00000133731,IMPA1,
2124,Q8TC41,ENSG00000146373,RNF217,
2125,P49593,ENSG00000100034,PPM1F,
2126,P26367,ENSG00000007372,PAX6,
2127,O00311,ENSG00000097046,CDC7,
2128,O00212,ENSG00000173156,RHOD,
2129,Q15109,ENSG00000204305,AGER,
2130,P61962,ENSG00000136485,DCAF7,
2131,P55283,ENSG00000179242,CDH4,
2132,O14649,ENSG00000171303,KCNK3,
2133,Q15208,ENSG00000112079,STK38,
2134,O00401,ENSG00000106299,WASL,
2135,P11309,ENSG00000137193,PIM1,
2136,P45985,ENSG00000065559,MAP2K4,
2137,P61160,ENSG00000138071,ACTR2,
2138,Q9Y566,ENSG00000161681,SHANK1,
2139,P16389,ENSG00000177301,KCNA2,
2140,O75056,ENSG00000162512,SDC3,
2141,Q9UPX8,ENSG00000162105,SHANK2,
2142,Q9Y2H1,ENSG00000211455,STK38L,
2143,O43312,ENSG00000170873,MTSS1,
2144,Q16832,ENSG00000162733,DDR2,
2145,P22455,ENSG00000160867,FGFR4,
2146,Q9NR20,ENSG00000010219,DYRK4,
2147,Q8WZ74,ENSG00000077063,CTTNBP2,
2148,O15144,ENSG00000163466,ARPC2,
2149,Q8IVW4,ENSG00000006837,CDKL3,
2150,P61158,ENSG00000115091,ACTR3,
2151,Q6J9G0,ENSG00000060140,STYK1,
2152,Q6P3W7,ENSG00000136021,SCYL2,
2153,P85298,ENSG00000241484,ARHGAP8,
2154,P49798,ENSG00000117152,RGS4,
2155,O43747,ENSG00000166747,AP1G1,
2156,Q8NFT8,ENSG00000187957,DNER,
2157,Q9UMZ2,ENSG00000275066,SYNRG,
2158,Q63HQ0,ENSG00000138660,AP1AR,
2159,Q7Z6J2,ENSG00000161835,GRASP,
2160,O43586,ENSG00000140368,PSTPIP1,
2161,P06729,ENSG00000116824,CD2,
2162,P42226,ENSG00000166888,STAT6,
2163,Q9H8V3,ENSG00000114346,ECT2,
2164,O75962,ENSG00000038382,TRIO,
2165,Q86UP2,ENSG00000126777,KTN1,
2166,Q9BST9,ENSG00000114993,RTKN,
2167,Q8N5V2,ENSG00000066248,NGEF,
2168,Q92974,ENSG00000116584,ARHGEF2,
2169,Q9Y4F9,ENSG00000111913,RIPOR2,
2170,O43924,ENSG00000156973,PDE6D,
2171,Q7Z698,ENSG00000198369,SPRED2,
2172,Q9NPG1,ENSG00000104290,FZD3,
2173,Q9Y4D1,ENSG00000100592,DAAM1,
2174,Q9NZN5,ENSG00000196914,ARHGEF12,
2175,P78357,ENSG00000108797,CNTNAP1,
2176,P52306,ENSG00000138698,RAP1GDS1,
2177,Q6WCQ1,ENSG00000133030,MPRIP,
2178,Q9H4E7,ENSG00000023892,DEF6,
2179,Q6ZSZ5,ENSG00000104880,ARHGEF18,
2180,Q9NR80,ENSG00000136002,ARHGEF4,
2181,Q8IW93,ENSG00000142632,ARHGEF19,
2182,O15085,ENSG00000132694,ARHGEF11,
2183,P10911,ENSG00000101977,MCF2,
2184,P52824,ENSG00000145214,DGKQ,
2185,Q9NR81,ENSG00000163947,ARHGEF3,
2186,Q8TCX5,ENSG00000158106,RHPN1,
2187,Q99819,ENSG00000242173,ARHGDIG,
2188,Q7Z628,ENSG00000173848,NET1,
2189,O15068,ENSG00000126217,MCF2L,
2190,Q86VW2,ENSG00000240771,ARHGEF25,
2191,Q12774,ENSG00000050327,ARHGEF5,
2192,Q7Z6B7,ENSG00000196935,SRGAP1,
2193,O60890,ENSG00000079482,OPHN1,
2194,Q13438,ENSG00000135506,OS9,
2195,P33993,ENSG00000166508,MCM7,
2196,P55211,ENSG00000132906,CASP9,
2197,P08473,ENSG00000196549,MME,
2198,Q13263,ENSG00000130726,TRIM28,
2199,P11912,ENSG00000105369,CD79A,
2200,P15509,ENSG00000198223,CSF2RA,
2201,O60711,ENSG00000110031,LPXN,
2202,Q14511,ENSG00000111859,NEDD9,
2203,Q9UQC2,ENSG00000033327,GAB2,
2204,P21854,ENSG00000137101,CD72,
2205,P20273,ENSG00000012124,CD22,
2206,Q9Y6Y9,ENSG00000154589,LY96,
2207,P16410,ENSG00000163599,CTLA4,
2208,Q9NYA1,ENSG00000176170,SPHK1,
2209,O95573,ENSG00000123983,ACSL3,
2210,Q9NWQ8,ENSG00000076641,PAG1,
2211,Q12972,ENSG00000117751,PPP1R8,
2212,Q01362,ENSG00000149534,MS4A2,
2213,Q9GZY6,ENSG00000086730,LAT2,
2214,Q13370,ENSG00000152270,PDE3B,
2215,P11836,ENSG00000156738,MS4A1,
2216,P30443,,,
2217,Q86WV1,ENSG00000141293,SKAP1,
2218,Q13291,ENSG00000117090,SLAMF1,
2219,Q9Y6R1,ENSG00000080493,SLC4A4,
2220,Q8N6F7,ENSG00000174500,GCSAM,
2221,P31994,ENSG00000072694,FCGR2B,
2222,P31995,ENSG00000244682,FCGR2C,
2223,P40259,ENSG00000007312,CD79B,
2224,P11168,ENSG00000163581,SLC2A2,
2225,P24071,ENSG00000186431,FCAR,
2226,Q96QH2,ENSG00000133246,PRAM1,
2227,Q8NDB2,ENSG00000153064,BANK1,
2228,P42263,ENSG00000125675,GRIA3,
2229,Q7L591,ENSG00000146094,DOK3,
2230,Q8WWW8,ENSG00000160219,GAB3,
2231,P27815,ENSG00000065989,PDE4A,
2232,P30273,ENSG00000158869,FCER1G,
2233,Q9H792,ENSG00000173517,PEAK1,
2234,P25063,ENSG00000272398,CD24,
2235,P15328,ENSG00000110195,FOLR1,
2236,Q9UKJ0,ENSG00000121716,PILRB,
2237,Q6PIZ9,ENSG00000163519,TRAT1,
2238,Q6Y2X3,ENSG00000135392,DNAJC14,
2239,P01019,ENSG00000135744,AGT,
2240,Q9UBI6,ENSG00000172380,GNG12,
2241,P35626,ENSG00000100077,GRK3,
2242,P20339,ENSG00000144566,RAB5A,
2243,P21583,ENSG00000049130,KITLG,
2244,P01588,ENSG00000130427,EPO,
2245,O14508,ENSG00000120833,SOCS2,
2246,P29322,ENSG00000070886,EPHA8,
2247,P35610,ENSG00000057252,SOAT1,
2248,Q93045,ENSG00000104435,STMN2,
2249,P17661,ENSG00000175084,DES,
2250,O15392,ENSG00000089685,BIRC5,
2251,Q9Y4C1,ENSG00000115548,KDM3A,
2252,Q9NYF0,ENSG00000165617,DACT1,
2253,Q00059,ENSG00000108064,TFAM,
2254,Q14103,ENSG00000138668,HNRNPD,
2255,P23771,ENSG00000107485,GATA3,
2256,Q14978,ENSG00000166197,NOLC1,
2257,P48436,ENSG00000125398,SOX9,
2258,O75582,ENSG00000100784,RPS6KA5,
2259,Q8TAQ2,ENSG00000139613,SMARCC2,
2260,Q9H492,ENSG00000101460,MAP1LC3A,
2261,P43243,ENSG00000015479,MATR3,
2262,P27708,ENSG00000084774,CAD,
2263,P10412,ENSG00000168298,HIST1H1E,
2264,Q13426,ENSG00000152422,XRCC4,
2265,Q13185,ENSG00000122565,CBX3,
2266,P10809,ENSG00000144381,HSPD1,
2267,Q14738,ENSG00000112640,PPP2R5D,
2268,P51398,ENSG00000132676,DAP3,
2269,Q8IW41,ENSG00000089022,MAPKAPK5,
2270,Q13112,ENSG00000159259,CHAF1B,
2271,P58876,ENSG00000158373,HIST1H2BD,
2272,P13807,ENSG00000104812,GYS1,
2273,Q9UMX1,ENSG00000107882,SUFU,
2274,Q16821,ENSG00000154415,PPP1R3A,
2275,Q16531,ENSG00000167986,DDB1,
2276,Q9BY41,ENSG00000147099,HDAC8,
2277,P17655,ENSG00000162909,CAPN2,
2278,Q96PM5,ENSG00000163743,RCHY1,
2279,Q96T88,ENSG00000276043,UHRF1,
2280,Q92597,ENSG00000104419,NDRG1,
2281,Q07955,ENSG00000136450,SRSF1,
2282,O60285,ENSG00000074590,NUAK1,
2283,O00755,ENSG00000154764,WNT7A,
2284,Q9NRA8,ENSG00000184708,EIF4ENIF1,
2285,O00482,ENSG00000116833,NR5A2,
2286,Q9Y463,ENSG00000105204,DYRK1B,
2287,P84243,ENSG00000132475,H3F3B,
2288,P13612,ENSG00000115232,ITGA4,
2289,Q8IVT5,ENSG00000141068,KSR1,
2290,Q14749,ENSG00000124713,GNMT,
2291,P54253,ENSG00000124788,ATXN1,
2292,O95863,ENSG00000124216,SNAI1,
2293,O75688,ENSG00000138032,PPM1B,
2294,O43566,ENSG00000169220,RGS14,
2295,O95477,ENSG00000165029,ABCA1,
2296,Q09666,ENSG00000124942,AHNAK,
2297,P26599,ENSG00000011304,PTBP1,
2298,P26038,ENSG00000147065,MSN,
2299,P35240,ENSG00000186575,NF2,
2300,P22459,ENSG00000182255,KCNA4,
2301,Q93034,ENSG00000166266,CUL5,
2302,P35236,ENSG00000143851,PTPN7,
2303,O60763,ENSG00000138768,USO1,
2304,Q15052,ENSG00000129675,ARHGEF6,
2305,Q9H0K1,ENSG00000170145,SIK2,
2306,P53396,ENSG00000131473,ACLY,
2307,P09341,ENSG00000163739,CXCL1,
2308,P39019,ENSG00000105372,RPS19,
2309,P34998,ENSG00000120088,CRHR1,
2310,P32245,ENSG00000166603,MC4R,
2311,P54829,ENSG00000110786,PTPN5,
2312,Q9Y6E0,ENSG00000102572,STK24,
2313,Q9ULJ8,ENSG00000158528,PPP1R9A,
2314,P48549,ENSG00000162989,KCNJ3,
2315,Q9Y2J0,ENSG00000089169,RPH3A,
2316,P39905,ENSG00000168621,GDNF,
2317,P62195,ENSG00000087191,PSMC5,
2318,P08588,ENSG00000043591,ADRB1,
2319,P78348,ENSG00000110881,ASIC1,
2320,Q16790,ENSG00000107159,CA9,
2321,Q9Y233,ENSG00000112541,PDE10A,
2322,O15551,ENSG00000165215,CLDN3,
2323,Q01082,ENSG00000115306,SPTBN1,
2324,P39880,ENSG00000257923,CUX1,
2325,P07101,ENSG00000180176,TH,
2326,Q9UNY4,ENSG00000116830,TTF2,
2327,P20265,ENSG00000184486,POU3F2,
2328,Q96SB3,ENSG00000108819,PPP1R9B,
2329,P54296,ENSG00000036448,MYOM2,
2330,Q8IWU9,ENSG00000139287,TPH2,
2331,P12270,ENSG00000047410,TPR,
2332,P78362,ENSG00000135250,SRPK2,
2333,O14813,ENSG00000165462,PHOX2A,
2334,P33076,ENSG00000179583,CIITA,
2335,Q9NP71,ENSG00000009950,MLXIPL,
2336,Q16629,ENSG00000115875,SRSF7,
2337,Q96S53,ENSG00000070759,TESK2,
2338,Q9NP97,ENSG00000125971,DYNLRB1,
2339,Q14494,ENSG00000082641,NFE2L1,
2340,Q9P289,ENSG00000134602,STK26,
2341,Q8N4C6,ENSG00000100503,NIN,
2342,P24390,ENSG00000105438,KDELR1,
2343,Q9NRD9,ENSG00000137857,DUOX1,
2344,Q15256,ENSG00000153233,PTPRR,
2345,Q08289,ENSG00000165995,CACNB2,
2346,P50549,ENSG00000006468,ETV1,
2347,P15924,ENSG00000096696,DSP,
2348,Q8TAE6,ENSG00000198729,PPP1R14C,
2349,Q12798,ENSG00000177143,CETN1,
2350,Q9GZX7,ENSG00000111732,AICDA,
2351,Q6UN15,ENSG00000145216,FIP1L1,
