index,protID,geneID,geneName,
139,P21817,ENSG00000196218,RYR1,
140,Q08209,ENSG00000138814,PPP3CA,
141,P25490,ENSG00000100811,YY1,
142,Q8N122,ENSG00000141564,RPTOR,
143,P42345,ENSG00000198793,MTOR,
144,P36897,ENSG00000106799,TGFBR1,
145,P01137,ENSG00000105329,TGFB1,
146,O15105,ENSG00000101665,SMAD7,
147,Q9HCE7,ENSG00000198742,SMURF1,
148,P00374,ENSG00000228716,DHFR,
149,Q15413,ENSG00000198838,RYR3,
150,P37088,ENSG00000111319,SCNN1A,
151,Q8NER1,ENSG00000196689,TRPV1,
152,P46934,ENSG00000069869,NEDD4,
153,P10275,ENSG00000169083,AR,
154,Q96PU5,ENSG00000049759,NEDD4L,
155,Q12851,ENSG00000168067,MAP4K2,
156,Q13190,ENSG00000162236,STX5,
157,Q13563,ENSG00000118762,PKD2,
158,P09493,ENSG00000140416,TPM1,
159,Q02363,ENSG00000115738,ID2,
160,Q9UBN7,ENSG00000094631,HDAC6,
161,Q13507,ENSG00000138741,TRPC3,
162,Q9HCX4,ENSG00000069018,TRPC7,
163,Q96D42,ENSG00000113249,HAVCR1,
164,P98161,ENSG00000008710,PKD1,
165,P08F94,ENSG00000170927,PKHD1,
166,Q92736,ENSG00000198626,RYR2,
167,Q86SG6,ENSG00000160602,NEK8,
168,O00165,ENSG00000143575,HAX1,
169,O60610,ENSG00000131504,DIAPH1,
170,Q9HBA0,ENSG00000111199,TRPV4,
171,P14314,ENSG00000130175,PRKCSH,
172,P21333,ENSG00000196924,FLNA,
173,O75695,ENSG00000102218,RP2,
174,Q9Y3M2,ENSG00000100211,CBY1,
175,Q9Y496,ENSG00000131437,KIF3A,
176,P68400,ENSG00000101266,CSNK2A1,
177,P49840,ENSG00000105723,GSK3A,
178,Q15746,ENSG00000065534,MYLK,
179,P51572,ENSG00000185825,BCAP31,
180,Q9BZL6,ENSG00000105287,PRKD2,
181,O60229,ENSG00000160145,KALRN,
182,P05771,ENSG00000166501,PRKCB,
183,Q13224,ENSG00000273079,GRIN2B,
184,Q05586,ENSG00000176884,GRIN1,
185,P05129,ENSG00000126583,PRKCG,
186,P42336,ENSG00000121879,PIK3CA,
187,Q06124,ENSG00000179295,PTPN11,
188,P29323,ENSG00000133216,EPHB2,
189,Q92796,ENSG00000082458,DLG3,
190,P78352,ENSG00000132535,DLG4,
191,Q15700,ENSG00000150672,DLG2,
192,Q96AX9,ENSG00000197530,MIB2,
193,Q7Z7J9,ENSG00000162545,CAMK2N1,
194,P13861,ENSG00000114302,PRKAR2A,
195,P24588,ENSG00000179841,AKAP5,
196,Q06455,ENSG00000079102,RUNX1T1,
197,O43823,ENSG00000105127,AKAP8,
198,Q13485,ENSG00000141646,SMAD4,
199,P11137,ENSG00000078018,MAP2,
200,P31947,ENSG00000175793,SFN,
201,P15311,ENSG00000092820,EZR,
202,P49841,ENSG00000082701,GSK3B,
203,P07949,ENSG00000165731,RET,
204,O75081,ENSG00000129993,CBFA2T3,
205,P22694,ENSG00000142875,PRKACB,
206,P16298,ENSG00000107758,PPP3CB,
207,P13569,ENSG00000001626,CFTR,
208,Q12802,ENSG00000170776,AKAP13,
209,P48454,ENSG00000120910,PPP3CC,
210,P31323,ENSG00000005249,PRKAR2B,
211,Q5VU43,ENSG00000178104,PDE4DIP,
212,Q9UKA4,ENSG00000023516,AKAP11,
213,Q9Y2D5,ENSG00000241978,AKAP2,
214,Q13637,ENSG00000118508,RAB32,
215,O75969,ENSG00000111254,AKAP3,
216,Q01844,ENSG00000182944,EWSR1,
217,Q02156,ENSG00000171132,PRKCE,
218,P21675,ENSG00000147133,TAF1,
219,Q9P2K8,ENSG00000128829,EIF2AK4,
220,Q01543,ENSG00000151702,FLI1,
221,P05412,ENSG00000177606,JUN,
222,Q13315,ENSG00000149311,ATM,
223,Q99728,ENSG00000138376,BARD1,
224,P49137,ENSG00000162889,MAPKAPK2,
225,Q06187,ENSG00000010671,BTK,
226,Q92793,ENSG00000005339,CREBBP,
227,Q08211,ENSG00000135829,DHX9,
228,Q14289,ENSG00000120899,PTK2B,
229,P42679,ENSG00000007264,MATK,
230,Q15637,ENSG00000168066,SF1,
231,Q01851,ENSG00000152192,POU4F1,
232,Q01860,ENSG00000204531,POU5F1,
233,P09234,ENSG00000124562,SNRPC,
234,Q9NR22,ENSG00000111218,PRMT8,
235,P62487,ENSG00000168002,POLR2G,
236,Q16620,ENSG00000148053,NTRK2,
237,P18031,ENSG00000196396,PTPN1,
238,P19174,ENSG00000124181,PLCG1,
239,P20783,ENSG00000185652,NTF3,
240,Q13562,ENSG00000162992,NEUROD1,
241,O60880,ENSG00000183918,SH2D1A,
242,P29353,ENSG00000160691,SHC1,
243,O14908,ENSG00000123159,GIPC1,
244,Q9Y4H2,ENSG00000185950,IRS2,
245,P23560,ENSG00000176697,BDNF,
246,P35568,ENSG00000169047,IRS1,
247,Q13501,ENSG00000161011,SQSTM1,
248,O14492,ENSG00000160999,SH2B2,
249,O43639,ENSG00000071051,NCK2,
250,Q9NRF2,ENSG00000178188,SH2B1,
251,Q92529,ENSG00000148082,SHC3,
252,P08138,ENSG00000064300,NGFR,
253,P98077,ENSG00000129946,SHC2,
254,Q9P104,ENSG00000101134,DOK5,
255,Q13332,ENSG00000105426,PTPRS,
256,P22001,ENSG00000177272,KCNA3,
257,O43559,ENSG00000137218,FRS3,
258,P34130,ENSG00000225950,NTF4,
259,Q9ULH0,ENSG00000134313,KIDINS220,
260,P0CG47,ENSG00000170315,UBB,
261,P19086,ENSG00000128266,GNAZ,
262,P35579,ENSG00000100345,MYH9,
263,P17302,ENSG00000152661,GJA1,
264,P19429,ENSG00000129991,TNNI3,
265,P17677,ENSG00000172020,GAP43,
266,P16949,ENSG00000117632,STMN1,
267,Q07869,ENSG00000186951,PPARA,
268,P29474,ENSG00000164867,NOS3,
269,P62491,ENSG00000103769,RAB11A,
270,P04083,ENSG00000135046,ANXA1,
271,Q9H1D0,ENSG00000165125,TRPV6,
