#Linkers: 
#Core	Expansion
ENSG00000104368 ENSG00000106366 ENSG00000118271 ENSG00000134812 ENSG00000138207 ENSG00000163631 ENSG00000180210	
ENSG00000004139 ENSG00000007171 ENSG00000017427 ENSG00000035862 ENSG00000070404 ENSG00000088832 ENSG00000096717 ENSG00000100380 ENSG00000101439 ENSG00000102265 ENSG00000104899 ENSG00000105329 ENSG00000105974 ENSG00000106113 ENSG00000109163 ENSG00000109819 ENSG00000111424 ENSG00000112964 ENSG00000113140 ENSG00000114739 ENSG00000116678 ENSG00000118523 ENSG00000121853 ENSG00000121989 ENSG00000125845 ENSG00000126351 ENSG00000132639 ENSG00000132693 ENSG00000133116 ENSG00000134363 ENSG00000135414 ENSG00000136244 ENSG00000136869 ENSG00000138379 ENSG00000143799 ENSG00000143839 ENSG00000144891 ENSG00000145192 ENSG00000146678 ENSG00000147437 ENSG00000150907 ENSG00000150995 ENSG00000152266 ENSG00000156709 ENSG00000156970 ENSG00000158022 ENSG00000159640 ENSG00000164136 ENSG00000164879 ENSG00000165731 ENSG00000166147 ENSG00000169083 ENSG00000171105 ENSG00000174697 ENSG00000184481 ENSG00000184557 ENSG00000185359 ENSG00000196136 ENSG00000198793 ENSG00000204389 ENSG00000254647 ENSG00000259384	
ENSG00000148053 ENSG00000176697 ENSG00000185652	
ENSG00000112658 ENSG00000196588	
ENSG00000108691 ENSG00000121807	
ENSG00000115008 ENSG00000125538 ENSG00000137752	
ENSG00000061918 ENSG00000164116	
